state_name,region,geo_point_2d
United States Virgin Islands,9,"18.0599451556, -64.8390395698"
Wisconsin,2,"44.6398938154, -89.7328946459"
Vermont,1,"44.0752509757, -72.6626510555"
New Jersey,1,"40.1102763626, -74.6555473755"
Colorado,4,"38.9985186267, -105.54785684"
South Carolina,3,"33.8779486788, -80.864660852"
Oklahoma,3,"35.5833682774, -97.508093637"
Indiana,2,"39.9198818827, -86.281840449"
Montana,4,"47.0333414226, -109.645096189"
Maryland,3,"38.9463162888, -76.6870675073"
New Mexico,4,"34.4212892847, -106.108430625"
District of Columbia,3,"38.9047679414, -77.0163213502"
Arizona,4,"34.2930127751, -111.664551938"
Nevada,4,"39.35603619, -116.655208718"
Georgia,3,"32.6386626049, -83.427200622"
Maine,1,"45.2743814371, -69.2027978457"
Michigan,2,"44.874698084, -85.730876413"
Idaho,4,"44.3889268004, -114.659399868"
Nebraska,2,"41.5271431364, -99.8110205566"
Rhode Island,1,"41.5946933039, -71.524812176"
Washington,4,"47.4116571169, -120.592673096"
Louisiana,3,"30.9091786621, -91.8142984793"
Illinois,2,"40.1242236189, -89.1486499157"
Kentucky,3,"37.5266027266, -85.2905397627"
South Dakota,2,"44.4361504276, -100.230377123"
Alabama,3,"32.7570463396, -86.844525962"
Ohio,2,"40.4154068727, -82.7094377437"
Virginia,3,"37.5108555353, -78.666442414"
Hawaii,4,"20.9944055917, -158.108287988"
Kansas,2,"38.4846312307, -98.380027191"
Delaware,3,"38.9951239354, -75.4525519527"
Minnesota,2,"46.3491388483, -94.1981561215"
New Hampshire,1,"43.6802448752, -71.5712354907"
Puerto Rico,9,"18.2157325628, -66.4146425123"
Commonwealth of the Northern Mariana Islands,9,"16.8164771029, 145.595809651"
Arkansas,3,"34.899695632, -92.4393557454"
West Virginia,3,"38.6425782646, -80.6137013299"
Connecticut,1,"41.5750199702, -72.738273382"
Pennsylvania,1,"40.8966438104, -77.8390102704"
Alaska,4,"63.7431630974, -151.594035116"
Texas,3,"31.4472069363, -99.3171748956"
Guam,9,"13.4427523818, 144.769442514"
Iowa,2,"42.0747320767, -93.5003020206"
Florida,3,"28.4773051103, -82.4664653131"
Tennessee,3,"35.8430403639, -86.3432418457"
Wyoming,4,"42.9995710878, -107.551330644"
North Dakota,2,"47.4462222144, -100.469360338"
North Carolina,3,"35.5259774335, -79.1308481139"
New York,1,"42.9212247761, -75.5965163716"
Utah,4,"39.3235972656, -111.678212123"
Mississippi,3,"32.7129274935, -89.6533717564"
California,4,"37.2153570137, -119.663749804"
Oregon,4,"43.9403606958, -120.605143691"
Massachusetts,1,"42.1601422413, -71.5040599745"
American Samoa,9,"-13.9662650627, -170.079669261"
Missouri,2,"38.3676961633, -92.4774706827"
